i,score
811,0.53
812,0.48
813,0.38
814,0.23
816,0.56
817,0.39
818,0.32
819,0.34
820,0.61
821,0.47
822,0.42
823,0.52
824,0.34
825,0.37
826,0.38
827,0.33
830,0.41
831,0.5
833,0.59
835,0.31
836,0.55
837,-0.11
838,0.29
839,0.43
840,0.64
841,0.06
843,0.41
844,0.17
846,0.29
847,0.47
849,0.5
850,0.49
851,0.35
852,0.24
853,0.14
854,0.48
855,0.5
857,0.4
858,0.43
859,0.51
862,0.38
863,0.17
864,0.56
865,0.24
866,0.62
867,0.25
868,0.31
869,0.36
870,0.45
871,0.65
872,0.42
873,0.41
875,0.28
876,0.59
877,0.7
878,0.25
880,0.34
881,0.54
882,0.62
884,0.73
885,0.38
886,0.34
887,0.62
888,0.55
890,0.39
891,0.28
892,0.47
893,0.13
894,0.44
896,0.32
897,0.15
898,0.16
899,0.48
900,0.31
901,0.35
902,-0.08
903,0.51
904,0.56
905,0.59
906,0.53
908,0.67
909,0.33
910,0.62
911,0.51
912,0.61
913,0.37
914,0.26
915,0.23
916,0.26
918,0.32
920,0.39
921,0.27
922,0.6
923,0.35
924,0.16
925,0.14
926,0.42
927,0.67
928,0.34
929,0.19
930,0.5
931,0.48
932,0.48
933,0.31
934,0.42
935,0.42
936,0.33
938,0.61
939,0.87
940,0.37
941,0.49
943,0.2
944,0.54
945,0.58
947,0.29
948,0.5
949,0.32
950,0.35
951,0.12
952,0.84
953,0.47
954,0.36
955,0.46
956,0.38
957,0.63
958,0.27
959,0.29
961,0.85
962,0.92
963,0.51
964,0.61
965,0.42
966,0.34
967,0.44
968,0.34
969,0.38
970,0.57
971,0.35
972,0.31
973,0.48
974,0.31
975,0.28
976,0.3
977,0.48
978,0.55
979,0.28
980,0.15
981,0.4
982,0.21
983,0.26
984,0.3
985,0.15
986,0.24
987,0.22
988,0.2
989,0.32
990,0.17
991,0.53
993,0.24
994,0.35
995,0.53
996,0.61
997,0.22
998,0.48
999,0.39
1000,0.33
